2023-10-08 15:13:48.090 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper-Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.zzyl.service.test.IoTDeviceTest], using SpringBootContextLoader
2023-10-08 15:14:16.171 [QpidJMS Connection Executor: ID:85a89aa0-8602-4f97-be08-f0e353207daa:1] INFO  com.zzyl.job.AmqpClient-onConnectionEstablished, remoteUri:amqps://iot-06z00frq8umvkx2.amqp.iothub.aliyuncs.com:5671?amqp.idleTimeout=80000
2023-10-08 15:14:16.552 [AmqpProvider :(4):[amqps://iot-06z00frq8umvkx2.amqp.iothub.aliyuncs.com:5671]] INFO  org.apache.qpid.jms.JmsConnection-Connection ID:61e11c1a-e1ae-418f-b563-a0a6210076be:1 connected to server: amqps://iot-06z00frq8umvkx2.amqp.iothub.aliyuncs.com:5671
2023-10-08 15:14:16.552 [QpidJMS Connection Executor: ID:61e11c1a-e1ae-418f-b563-a0a6210076be:1] INFO  com.zzyl.job.AmqpClient-onConnectionEstablished, remoteUri:amqps://iot-06z00frq8umvkx2.amqp.iothub.aliyuncs.com:5671?amqp.idleTimeout=80000
2023-10-08 15:14:16.637 [main] INFO  com.zzyl.job.AmqpClient-amqp  is started successfully, and will exit after server shutdown 
2023-10-08 15:14:17.544 [SpringApplicationShutdownHook] INFO  org.activiti.spring.AbstractActivitiSmartLifeCycle-Stopping...
2023-10-08 15:14:17.544 [SpringApplicationShutdownHook] INFO  org.activiti.spring.AbstractActivitiSmartLifeCycle-Stopped.
2023-10-08 15:14:17.544 [SpringApplicationShutdownHook] INFO  org.activiti.spring.AbstractActivitiSmartLifeCycle-Stopping...
2023-10-08 15:14:17.544 [SpringApplicationShutdownHook] INFO  org.activiti.spring.AbstractActivitiSmartLifeCycle-Stopped.
2023-10-08 15:14:17.544 [SpringApplicationShutdownHook] INFO  org.activiti.spring.AbstractActivitiSmartLifeCycle-Stopping...
2023-10-08 15:14:17.544 [SpringApplicationShutdownHook] INFO  org.activiti.spring.AbstractActivitiSmartLifeCycle-Stopped.
2023-10-08 15:14:17.544 [SpringApplicationShutdownHook] INFO  org.activiti.spring.AbstractActivitiSmartLifeCycle-Stopping...
2023-10-08 15:14:17.544 [SpringApplicationShutdownHook] INFO  org.activiti.spring.AbstractActivitiSmartLifeCycle-Stopped.
2023-10-08 15:14:17.556 [Thread-7] INFO  com.xxl.job.core.server.EmbedServer->>>>>>>>>>> xxl-job remoting server stop.
2023-10-08 15:14:17.561 [xxl-job, executor ExecutorRegistryThread] INFO  com.xxl.job.core.thread.ExecutorRegistryThread->>>>>>>>>>> xxl-job registry-remove success, registryParam:RegistryParam{registryGroup='EXECUTOR', registryKey='zzyl-dev-executor', registryValue='http://172.16.17.191:9999/'}, registryResult:ReturnT [code=200, msg=null, content=null]
2023-10-08 15:14:17.562 [xxl-job, executor ExecutorRegistryThread] INFO  com.xxl.job.core.thread.ExecutorRegistryThread->>>>>>>>>>> xxl-job, executor registry thread destory.
2023-10-08 15:14:17.562 [SpringApplicationShutdownHook] INFO  com.xxl.job.core.server.EmbedServer->>>>>>>>>>> xxl-job remoting server destroy success.
2023-10-08 15:14:17.563 [xxl-job, executor TriggerCallbackThread] INFO  com.xxl.job.core.thread.TriggerCallbackThread->>>>>>>>>>> xxl-job, executor callback thread destory.
2023-10-08 15:14:17.564 [Thread-6] INFO  com.xxl.job.core.thread.TriggerCallbackThread->>>>>>>>>>> xxl-job, executor retry callback thread destory.
2023-10-08 15:14:17.577 [SpringApplicationShutdownHook] INFO  o.a.e.impl.asyncexecutor.DefaultAsyncJobExecutor-Shutting down the default async job executor [org.activiti.spring.SpringAsyncExecutor].
2023-10-08 15:14:17.578 [activiti-acquire-async-jobs] INFO  o.a.e.i.asyncexecutor.AcquireAsyncJobsDueRunnable-{} stopped async job due acquisition
2023-10-08 15:14:17.578 [activiti-acquire-timer-jobs] INFO  o.a.e.impl.asyncexecutor.AcquireTimerJobsRunnable-{} stopped async job due acquisition
2023-10-08 15:14:17.578 [activiti-reset-expired-jobs] INFO  o.a.e.impl.asyncexecutor.ResetExpiredJobsRunnable-{} stopped resetting expired jobs
2023-10-08 15:14:17.633 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource-{dataSource-1} closing ...
2023-10-08 15:14:17.637 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource-{dataSource-1} closed
2023-10-08 15:14:43.759 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper-Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.zzyl.service.test.IoTDeviceTest], using SpringBootContextLoader
2023-10-08 15:14:43.770 [main] INFO  o.s.test.context.support.AbstractContextLoader-Could not detect default resource locations for test class [com.zzyl.service.test.IoTDeviceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-10-08 15:14:43.771 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils-Could not detect default configuration classes for test class [com.zzyl.service.test.IoTDeviceTest]: IoTDeviceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-10-08 15:14:43.968 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper-Found @SpringBootConfiguration com.zzyl.ZzylApplication for test class com.zzyl.service.test.IoTDeviceTest
2023-10-08 15:14:44.208 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper-Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-10-08 15:14:44.231 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper-Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@51c929ae, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3c8bdd5b, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@29d2d081, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@40e4ea87, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@58783f6c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3a7b503d, org.springframework.test.context.transaction.TransactionalTestExecutionListener@512d92b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@62c5bbdc, org.springframework.test.context.event.EventPublishingTestExecutionListener@7bdf6bb7, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1bc53649, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@88d6f9b, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@47d93e0d, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@475b7792, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@751e664e, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@160c3ec1]
2023-10-08 15:14:44.922 [main] INFO  com.zzyl.service.test.IoTDeviceTest-Starting IoTDeviceTest using Java 11 on LAPTOP-EK2VLALR with PID 8420 (started by yuhon in D:\code\2023\zzyl-code\zzyl\zzyl-web)
2023-10-08 15:14:44.923 [main] INFO  com.zzyl.service.test.IoTDeviceTest-No active profile set, falling back to 1 default profile: "default"
2023-10-08 15:14:44.926 [background-preinit] INFO  org.hibernate.validator.internal.util.Version-HV000001: Hibernate Validator 6.2.5.Final
2023-10-08 15:14:47.967 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate-Multiple Spring Data modules found, entering strict repository configuration mode
2023-10-08 15:14:47.972 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate-Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-10-08 15:14:48.051 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate-Finished Spring Data repository scanning in 56 ms. Found 0 Redis repository interfaces.
2023-10-08 15:14:49.636 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker-Bean 'org.activiti.spring.boot.ActivitiMethodSecurityAutoConfiguration$ActivitiMethodSecurityConfiguration' of type [org.activiti.spring.boot.ActivitiMethodSecurityAutoConfiguration$ActivitiMethodSecurityConfiguration$$EnhancerBySpringCGLIB$$25fb814d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-10-08 15:14:50.064 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure-Init DruidDataSource
2023-10-08 15:14:50.404 [main] INFO  com.alibaba.druid.pool.DruidDataSource-{dataSource-1} inited
2023-10-08 15:14:53.097 [main] INFO  org.redisson.Version-Redisson 3.11.2
2023-10-08 15:14:54.951 [redisson-netty-2-5] INFO  org.redisson.connection.pool.MasterConnectionPool-24 connections initialized for 192.168.200.146/192.168.200.146:6379
2023-10-08 15:14:54.951 [redisson-netty-2-20] INFO  o.r.connection.pool.MasterPubSubConnectionPool-1 connections initialized for 192.168.200.146/192.168.200.146:6379
2023-10-08 15:14:57.054 [main] INFO  o.a.engine.impl.cfg.ProcessEngineConfigurationImpl-Found 1 Process Engine Configurators in total:
2023-10-08 15:14:57.054 [main] INFO  o.a.engine.impl.cfg.ProcessEngineConfigurationImpl-class org.activiti.spring.process.conf.ProcessExtensionsConfiguratorAutoConfiguration$$EnhancerBySpringCGLIB$$b3273172 (priority:10000)
2023-10-08 15:14:57.054 [main] INFO  o.a.engine.impl.cfg.ProcessEngineConfigurationImpl-Executing beforeInit() of class org.activiti.spring.process.conf.ProcessExtensionsConfiguratorAutoConfiguration$$EnhancerBySpringCGLIB$$b3273172 (priority:10000)
2023-10-08 15:14:58.056 [main] INFO  o.a.engine.impl.cfg.ProcessEngineConfigurationImpl-Executing configure() of class org.activiti.spring.process.conf.ProcessExtensionsConfiguratorAutoConfiguration$$EnhancerBySpringCGLIB$$b3273172 (priority:10000)
2023-10-08 15:14:58.162 [main] INFO  org.activiti.engine.impl.ProcessEngineImpl-ProcessEngine default created
2023-10-08 15:14:58.164 [main] INFO  o.a.e.impl.asyncexecutor.DefaultAsyncJobExecutor-Starting up the default async job executor [org.activiti.spring.SpringAsyncExecutor].
2023-10-08 15:14:58.165 [Thread-2] INFO  o.a.e.i.asyncexecutor.AcquireAsyncJobsDueRunnable-{} starting to acquire async jobs due
2023-10-08 15:14:58.165 [Thread-3] INFO  o.a.e.impl.asyncexecutor.AcquireTimerJobsRunnable-{} starting to acquire async jobs due
2023-10-08 15:14:58.165 [Thread-4] INFO  o.a.e.impl.asyncexecutor.ResetExpiredJobsRunnable-{} starting to reset expired jobs
2023-10-08 15:14:58.213 [main] WARN  o.a.s.a.AbstractAutoDeploymentStrategy-Enforced application version not set.
2023-10-08 15:14:58.663 [main] INFO  com.zzyl.config.OssAliyunAutoConfig------------------开始创建OSSClient--------------------
2023-10-08 15:14:59.166 [main] INFO  com.zzyl.config.OssAliyunAutoConfig------------------结束创建OSSClient--------------------
2023-10-08 15:15:00.843 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver-Exposing 1 endpoint(s) beneath base path '/actuator'
2023-10-08 15:15:01.755 [main] INFO  o.s.security.web.DefaultSecurityFilterChain-Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4424285, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@65a022e6, org.springframework.security.web.context.SecurityContextPersistenceFilter@1bccd936, org.springframework.security.web.header.HeaderWriterFilter@26c67726, org.springframework.security.web.authentication.logout.LogoutFilter@152705d0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6b13d558, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1c4053aa, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3d731475, org.springframework.security.web.session.SessionManagementFilter@2bcfdefe, org.springframework.security.web.access.ExceptionTranslationFilter@4cf2b47a, org.springframework.security.web.access.intercept.AuthorizationFilter@2895e02b]
2023-10-08 15:15:01.866 [main] INFO  com.zzyl.config.XxlJobConfig->>>>>>>>>>> xxl-job config init.
2023-10-08 15:15:04.614 [main] INFO  com.xxl.job.core.executor.XxlJobExecutor->>>>>>>>>>> xxl-job register jobhandler success, name:createMothBillAndTaskJob, jobHandler:com.xxl.job.core.handler.impl.MethodJobHandler@502aa66a[class com.zzyl.job.BillJob#createMothBillAndTaskJob]
2023-10-08 15:15:04.615 [main] INFO  com.xxl.job.core.executor.XxlJobExecutor->>>>>>>>>>> xxl-job register jobhandler success, name:updateContractStatusJob, jobHandler:com.xxl.job.core.handler.impl.MethodJobHandler@5a06fcfc[class com.zzyl.job.ContractJob#updateContractStatusJob]
2023-10-08 15:15:04.615 [main] INFO  com.xxl.job.core.executor.XxlJobExecutor->>>>>>>>>>> xxl-job register jobhandler success, name:reservationStatusToExpired, jobHandler:com.xxl.job.core.handler.impl.MethodJobHandler@4c9a3ae[class com.zzyl.job.ReservationJob#updateReservationStatus]
2023-10-08 15:15:04.749 [main] WARN  com.xxl.job.core.executor.XxlJobExecutor->>>>>>>>>>> xxl-job accessToken is empty. To ensure system security, please set the accessToken.
2023-10-08 15:15:04.822 [Thread-7] INFO  com.xxl.job.core.server.EmbedServer->>>>>>>>>>> xxl-job remoting server start success, nettype = class com.xxl.job.core.server.EmbedServer, port = 9999
2023-10-08 15:15:06.151 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: TradingVo, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.185 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: RefundRecordVo, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.215 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.216 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.217 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.218 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.219 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.219 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.220 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.274 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.275 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.276 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.277 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.278 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.278 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.279 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.289 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: TradingVo, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.502 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.503 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.504 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.505 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.506 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.506 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.507 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.508 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.578 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: DeptDto, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.593 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: DeptDto, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.600 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: DeptDto, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.605 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: DeptDto, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.612 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: DeptDto, dataTypeClass: class java.lang.Void
2023-10-08 15:15:06.835 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: UserVo, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.020 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.021 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.025 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.026 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.027 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.028 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.033 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.034 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.098 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.099 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.100 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.101 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.102 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.102 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.103 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.103 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Integer, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.111 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.118 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: TradingVo, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.217 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: PostDto, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.218 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Integer, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.219 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Integer, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.228 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: PostDto, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.234 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: PostDto, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.242 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: PostDto, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.268 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.269 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.270 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.271 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.271 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.272 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.272 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.273 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.312 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: ResourceDto, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.319 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: ResourceDto, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.324 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: ResourceDto, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.353 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: ResourceDto, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.474 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: roleDto, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.475 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Integer, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.475 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Integer, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.483 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: roleDto, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.487 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: roleDto, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.600 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: UserDto, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.601 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Integer, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.602 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Integer, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.608 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: UserDto, dataTypeClass: class java.lang.Void
2023-10-08 15:15:07.616 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
